,Model,DatasetSize,Time
0,NUMPY,1000,0.00014281272888183594
1,NUMPY,2000,0.00018215179443359375
2,NUMPY,3000,0.0002429485321044922
3,NUMPY,4000,0.0002949237823486328
4,NUMPY,5000,0.0004398822784423828
5,NUMPY,6000,0.0006501674652099609
6,NUMPY,7000,0.0007503032684326172
7,NUMPY,8000,0.0007092952728271484
8,NUMPY,9000,0.0007538795471191406
9,NUMPY,10000,0.0008387565612792969
10,SEQUENTIAL,1000,0.0002498626708984375
11,SEQUENTIAL,2000,0.0004999637603759766
12,SEQUENTIAL,3000,0.0007412433624267578
13,SEQUENTIAL,4000,0.000978231430053711
14,SEQUENTIAL,5000,0.0012371540069580078
15,SEQUENTIAL,6000,0.0014829635620117188
16,SEQUENTIAL,7000,0.0017161369323730469
17,SEQUENTIAL,8000,0.001967191696166992
18,SEQUENTIAL,9000,0.0023229122161865234
19,SEQUENTIAL,10000,0.002454042434692383
20,THREADS,1000,0.0011332035064697266
21,THREADS,2000,0.0013408660888671875
22,THREADS,3000,0.0014200210571289062
23,THREADS,4000,0.0019001960754394531
24,THREADS,5000,0.001809835433959961
25,THREADS,6000,0.0024216175079345703
26,THREADS,7000,0.0025870800018310547
27,THREADS,8000,0.002746105194091797
28,THREADS,9000,0.003113985061645508
29,THREADS,10000,0.0032958984375
30,PROCESSES,1000,0.012891054153442383
31,PROCESSES,2000,0.008044958114624023
32,PROCESSES,3000,0.008317947387695312
33,PROCESSES,4000,0.009374856948852539
34,PROCESSES,5000,0.010142087936401367
35,PROCESSES,6000,0.01087808609008789
36,PROCESSES,7000,0.010594844818115234
37,PROCESSES,8000,0.012796163558959961
38,PROCESSES,9000,0.012860774993896484
39,PROCESSES,10000,0.013397932052612305
